what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747268293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747298697
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769747304544
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769747304719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747307801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747342113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747344828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747434830
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769747439118
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769747439310
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769747440423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769747441139
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769747450516
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769747452231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747455427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747460331
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769747460920
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769747461751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769747463864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769747464953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769747471267
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769747473263
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769747473438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769747478481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747480786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747485302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769747486233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769747518905
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769747523044
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769747523240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747527160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769747528770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769747534074
