what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709438880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709471028
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769709480338
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769709480529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769709482701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709485532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709592904
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769709594640
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769709594805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769709609086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709621987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709743443
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769709745589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709748854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769709749829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709751067
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769709751569
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769709751594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709757679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709762346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769709763362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769709764701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709767693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709774444
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769709776214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709779313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709787463
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769709787881
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769709787908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769709788877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769709789582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769709790800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709793236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709800646
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769709802501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709805210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769709814732
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769709815101
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769709815148
