what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663280176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663292940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663294537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663295763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663299230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663365116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769663367399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769663368167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769663368677
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769663375154
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1769663379831
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1769663381052
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1769663381358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663382537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663382594
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1769663382614
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1769663383222
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769663385160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769663423266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663427491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769663778994
