what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074555093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074579213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074581828
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769074581835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769075177526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769075184082
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769075193500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769076411153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769089111109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769089115876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769096165910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769100827264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769100827607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769100827757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769140046158
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769140046641
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1769140047839
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1769140047875
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1769140047907
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1769141270259
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1769141270259
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1769141270259
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1769141270266
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1769141270266
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1769141270268
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1769141270268
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1769141270270
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1769141270270
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1769141270270
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1769141270270
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1769141270270
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1769141270275
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1769141270275
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1769141270275
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1769141270275
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1769141270275
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1769141270275
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1769141270275
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1769141270281
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1769141270281
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1769141270281
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1769141270281
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1769141270286
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1769141270286
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1769141270286
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1769141270286
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1769141270286
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1769141270286
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1769141270286
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1769141270286
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1769141270286
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1769141270286
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1769141270286
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1769141270286
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1769141270286
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1769141270512
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1769141270512
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1769141270514
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1769141270514
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1769141270516
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1769141270518
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1769141270518
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1769141270520
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1769141270520
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1769141270520
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1769141270522
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1769141270522
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1769141270524
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1769141270524
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1769141270524
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1769141270524
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1769141270524
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1769141270524
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1769141270524
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1769141270524
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1769141270524
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1769141270524
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1769141270524
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1769141270524
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1769141270524
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1769141270540
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1769141270540
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1769141270544
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1769141270544
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1769141270546
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1769141270546
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1769141270546
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1769141270546
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1769141270546
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1769141270546
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1769141270546
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1769141270546
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1769141270546
os,sysinfo,,,"win32",1769141270556
arch,sysinfo,,,"x86",1769141270556
ws,sysinfo,,,"win32",1769141270556
locale,sysinfo,,,"en_IN",1769141270556
processors,sysinfo,,,"8",1769141270556
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1769141270556
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1769141270556
java.specification.name,sysinfo,,,"Java Platform API Specification",1769141270556
java.specification.vendor,sysinfo,,,"Oracle Corporation",1769141270556
java.specification.version,sysinfo,,,"1.7",1769141270556
java.vendor,sysinfo,,,"Oracle Corporation",1769141270556
java.version,sysinfo,,,"1.7.0_17",1769141270556
java.vm.info,sysinfo,,,"mixed mode, sharing",1769141270556
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1769141270556
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1769141270556
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1769141270556
java.vm.specification.version,sysinfo,,,"1.7",1769141270556
java.vm.vendor,sysinfo,,,"Oracle Corporation",1769141270556
java.vm.version,sysinfo,,,"23.7-b01",1769141270556
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1769141270636
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1769141270730
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1769141270730
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1769141270757
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1769141270993
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1769141271253
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1769141273228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769141275251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769141327831
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769141330894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769141334403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769141334655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769141335376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769141618952
