what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769669753958
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769669754151
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769669760646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769669761226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769669763730
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769669764975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769669775517
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769669778248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769669781163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769669796268
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769669799111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769669800100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769669815256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769669818585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769670043111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769670044270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769670704629
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769670722671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769670729407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769670735039
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769670735625
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769670735679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769670737328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769670738159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769670738949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769670741261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769670746739
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769670748771
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769670748966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769670750479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769670751465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769670759270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769670762423
